Tahun,Tingkat,Jumlah Sekolah,Jumlah Siswa,Jumlah Guru PNS,Jumlah Guru Non-PNS,Jumlah Guru,Jumlah Kelas,APM
2012,sd,146826,27583919,1074701,475575,1550276,1060597,95.55
2013,sd,148272,26769680,1051671,630592,1682263,1032818,95.71
2015,sd,147513,26132141,1163184,679678,1842862,1096930,93.53
2016,sd,147536,25885053,1130879,664734,1795613,1100097,93.38
2017,sd,147503,25618078,940483,645644,1586127,1103232,93.73
2018,sd,148244,25486506,798959,686643,1485602,1115194,93.02
2012,smp,33668,9425336,358528,155303,513831,274566,77.71
2013,smp,35527,9653093,386005,201605,587610,318440,78.43
2015,smp,36518,9930647,438796,357164,759960,338035,80.76
2016,smp,37023,10040277,356069,325353,681422,342656,81.01
2017,smp,37763,10145416,345627,277154,622781,384174,76.29
2018,smp,38960,10125724,321550,306502,628052,354518,76.99
2012,sma,21910,8215624,240519,199649,440168,239012,57.74
2013,sma,22780,8462379,244418,207623,452041,265404,58.25
2015,sma,24934,8443817,273883,447909,721792,284529,57.15
2016,sma,25348,8647394,261408,307857,569265,300043,59.1
2017,sma,26380,9342455,259265,311706,570971,320548,61.2
2018,sma,27205,9687676,247162,352801,599963,337795,63.7
